ID_KH,ID_SP,BINHLUAN,SCORERATING,NGAYBINHLUAN
1574,9885,"Đóng gói chắc chắn, date xa",2,3/13/2020 19:57
1575,7753,sử dụng thường xuyên có giảm mụn đầu đen,4,7/20/2020 22:11
1576,6672,chất kem mịn,1,8/2/2021 16:14
1577,6095,"ko dùng nhấc bếp dc, trơn, ",1,8/4/2020 9:38
1578,6178,"ăn không bị mặn, ",4,3/9/2020 3:29
1579,8050,Giao hàng nhanh,3,5/14/2021 15:26
1580,9761,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,2/3/2020 13:12
1582,1765,"giao hàng nhanh, bảo hành chính hãng",5,3/30/2021 14:07
1583,756,sản phẩm k có tem hãng dán,3,10/22/2021 16:43
1584,2122,sản phẩm k có tem hãng dán,1,9/28/2021 14:47
1585,3673,nhấc nồi nóng ko an toàn,3,3/29/2020 1:21
1586,3508,khung inox mỏng ko chở được hàng nặng,2,5/11/2021 10:53
1587,2544,"sẽ ủng hộ tiki nữa,san pham tot",2,6/15/2020 13:04
1588,523,sử dụng thường xuyên có giảm mụn đầu đen,2,7/18/2020 16:26
1590,5170,nhìn dễ thương,5,11/30/2021 10:49
1591,6611,nhìn dễ thương,3,7/3/2020 5:49
1592,8180,xài rất đã mà ko bị kích ứng da,5,6/11/2021 22:48
1593,941,Đắt chứ không giảm,3,6/13/2021 3:03
1594,9784,sau khi sử dụng da có sáng hơn 1 tí,1,10/15/2021 20:16
1595,1875,nói chung là ok,1,7/12/2021 13:16
1596,9155,xài xong thích lắm. da mịn hơn hẳn.,5,2/14/2021 19:51
1597,6726,"Nhựa quá tệ, bị giòn gãy đứt",5,4/5/2020 19:46
1598,6847,ko đủ cách nhiệt,4,6/8/2021 7:39
1599,4592,"Sản phẩm sử dụng tốt, mẫu mã đẹp",4,11/21/2020 8:11
1600,6918,nhấc nồi nóng ko an toàn,1,1/16/2021 2:35
1601,5043,hay bị lẫn và hạt hư.,4,12/4/2021 18:10
1602,1563,"giao hàng nhanh, bảo hành chính hãng",4,10/24/2020 20:32
1603,5535,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,3,9/13/2020 19:12
1604,4946,"Nhựa quá tệ, bị giòn gãy đứt",1,6/29/2020 16:09
1605,8947,sản phẩm tuyệt vời.,1,5/11/2021 0:30
1606,4932,Bánh xe nhựa mỏng chứ ko phải cao su,3,10/13/2021 19:17
1607,9031,khung inox mỏng ko chở được hàng nặng,2,6/18/2021 11:16
1608,9290,Bánh xe nhựa mỏng chứ ko phải cao su,2,7/20/2021 19:14
1610,2328,sản phẩm tuyệt vời.,4,5/19/2021 7:44
1611,2972,cảm giác dưỡng ẩm da tốt,2,11/4/2020 0:04
1612,3361,"ko dùng nhấc bếp dc, trơn, ",5,9/8/2021 15:08
1613,6638,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,9/7/2020 19:08
1614,5396,Đắt chứ không giảm,5,2/6/2021 2:11
1615,7972,hay bị lẫn và hạt hư.,1,4/5/2021 4:03
1616,2138,Đắt chứ không giảm,4,10/14/2021 12:00
1617,59,Tot và rẻ lam,2,2/12/2020 3:15
1620,9183,nhấc nồi nóng ko an toàn,2,5/3/2021 15:05
1621,5029,sau khi sử dụng da có sáng hơn 1 tí,3,9/30/2021 10:46
1623,1803,dàn bằng nhôm không rỉ sét,5,1/18/2020 5:47
1624,3562,sản phẩm tuyệt vời.,3,3/5/2021 20:10
1626,126,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",2,11/4/2021 21:03
1627,6701,xe bằng sắt để chịu lực tốt,4,8/21/2020 11:01
1628,6377,nói chung là ok,2,10/20/2020 19:43
1629,5906,sau khi sử dụng da có sáng hơn 1 tí,5,10/31/2020 7:06
1630,85,"chất liệu, sản phẩm như hình. được",3,10/14/2020 18:00
1631,5514,hay bị lẫn và hạt hư.,5,5/23/2020 6:43
1634,6458,nói chung là ok,5,10/18/2020 21:37
1635,4250,"chất liệu, sản phẩm như hình. được",2,3/1/2020 12:03
1636,2350,dàn bằng nhôm không rỉ sét,1,11/8/2020 5:13
1637,128,sau khi sử dụng da có sáng hơn 1 tí,3,4/24/2021 2:29
1638,8328,nhấc nồi nóng ko an toàn,5,11/18/2021 10:21
1640,5028,mặt đáy và trục bánh,2,10/14/2021 19:17
1641,7142,Giao hàng nhanh,2,6/17/2020 2:19
1642,981,"Ăn khá ngon ,độ mặn vừa phải ",5,10/28/2020 3:40
1644,6213,ko đủ cách nhiệt,3,10/6/2020 11:32
1645,5793,"Nhựa quá tệ, bị giòn gãy đứt",1,10/12/2020 8:39
1646,9070,"Dùng ổn, k bị thấm nước",2,2/7/2020 21:50
1647,9533,sử dụng thường xuyên có giảm mụn đầu đen,1,12/9/2021 12:25
1648,1724,hay bị lẫn và hạt hư.,1,2/22/2021 14:37
1649,8532,Bánh xe nhựa mỏng chứ ko phải cao su,5,4/30/2021 11:22
1650,9057,"Đóng gói chắc chắn, date xa",2,5/3/2020 11:21
1651,1040,ko đủ cách nhiệt,2,7/31/2021 8:46
1652,9614,nhấc nồi nóng ko an toàn,1,7/11/2020 9:44
1653,5302,khung inox mỏng ko chở được hàng nặng,3,12/16/2021 1:25
1654,7916,khung inox mỏng ko chở được hàng nặng,4,10/22/2020 2:27
1655,708,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,5/20/2020 21:31
1656,351,Tot và rẻ lam,5,5/18/2020 21:57
1657,8706,Giao hàng nhanh,5,4/6/2021 18:14
1658,3635,mua nhiều lần của các thương hiệu khác,5,5/19/2020 11:25
1660,8848,xài rất đã mà ko bị kích ứng da,3,7/17/2021 21:39
1661,1228,mình dùng bông lau hoặc lấy tay vỗ lên mặt,3,11/20/2021 7:27
1662,2754,mình dùng bông lau hoặc lấy tay vỗ lên mặt,1,5/17/2020 9:02
1664,1312,sản phẩm k có tem hãng dán,3,12/17/2021 22:15
1665,7599,"Đóng gói chắc chắn, date xa",4,2/14/2020 9:07
1666,1950,hết sẽ ủng hộ tiki nữa,1,3/4/2020 18:31
1667,6155,nói chung là ok,5,6/17/2020 1:57
1668,3988,"Chất vải may xấu, đường may thì cẩu thả.",2,9/21/2021 19:15
1669,2108,sử dụng thường xuyên có giảm mụn đầu đen,4,2/17/2020 19:55
1671,9498,"Nhựa quá tệ, bị giòn gãy đứt",2,7/23/2021 14:20
1673,5631,ko đủ cách nhiệt,5,6/18/2020 21:08
1675,9975,sau khi sử dụng da có sáng hơn 1 tí,5,6/9/2021 19:06
1676,1872,xài xong thích lắm. da mịn hơn hẳn.,2,10/10/2020 16:09
1677,4026,dàn bằng nhôm không rỉ sét,5,9/8/2021 18:02
1679,7205,đóng gói kĩ,4,7/24/2020 8:15
1680,9699,hết sẽ ủng hộ tiki nữa,3,1/7/2021 21:06
1681,2090,"Ăn khá ngon ,độ mặn vừa phải ",3,1/4/2021 22:10
1683,8278,"chất liệu, sản phẩm như hình. được",2,3/29/2020 19:09
1684,5104,"Đóng gói chắc chắn, date xa",5,9/27/2020 10:24
1685,7516,rẻ hơn mua ở cửa hàng điện máy,4,8/11/2020 7:18
1686,8244,Giao hàng nhanh,4,8/13/2020 4:07
1688,7473,hết sẽ ủng hộ tiki nữa,3,3/24/2021 17:45
1689,3334,Tot và rẻ lam,3,4/27/2020 7:02
1691,4450,hạt trung bình chứ ko to,1,2/8/2021 14:07
1692,1029,Giao hàng nhanh,1,2/29/2020 20:01
1693,148,"Sản phẩm sử dụng tốt, mẫu mã đẹp",2,12/6/2020 23:01
1694,4661,"Chất vải may xấu, đường may thì cẩu thả.",1,12/17/2020 11:04
1696,5350,Tot và rẻ lam,3,7/24/2020 14:33
1697,5608,sản phẩm tuyệt vời.,3,9/6/2020 15:23
1700,9667,"Dùng ổn, k bị thấm nước",3,11/9/2020 7:17
1704,7489,"Nhựa quá tệ, bị giòn gãy đứt",4,6/8/2021 17:06
1706,7554,nói chung là ok,1,12/25/2021 15:59
1708,2736,cảm giác dưỡng ẩm da tốt,4,4/13/2020 14:35
1709,4957,sử dụng thường xuyên có giảm mụn đầu đen,2,12/20/2020 2:33
1710,2648,"Chất vải may xấu, đường may thì cẩu thả.",4,11/8/2021 11:43
1711,8068,"Đóng gói chắc chắn, date xa",5,10/27/2020 19:34
1714,7218,"ăn không bị mặn, ",5,1/4/2021 20:25
1715,3599,"ko dùng nhấc bếp dc, trơn, ",3,6/21/2020 16:36
1716,2489,sản phẩm k có tem hãng dán,2,2/20/2021 18:54
1717,3963,Giao hàng nhanh,4,10/3/2020 2:50
1718,1407,nhấc nồi nóng ko an toàn,1,3/10/2021 22:20
1719,6126,cảm giác dưỡng ẩm da tốt,2,4/20/2021 15:56
1720,7462,"Chất vải may xấu, đường may thì cẩu thả.",5,3/1/2020 22:18
1721,4781,Bánh xe nhựa mỏng chứ ko phải cao su,4,7/21/2020 4:47
1723,5461,mình dùng bông lau hoặc lấy tay vỗ lên mặt,3,10/30/2021 4:44
1724,7435,sau khi sử dụng da có sáng hơn 1 tí,1,9/13/2021 14:08
1726,7285,"sẽ ủng hộ tiki nữa,san pham tot",4,1/11/2020 7:32
1728,5669,Thà k gập còn hơn.,3,1/15/2020 6:23
1729,9474,ko đủ cách nhiệt,1,7/30/2020 15:23
1730,3112,"ko dùng nhấc bếp dc, trơn, ",2,4/29/2021 16:45
1731,8900,xài rất đã mà ko bị kích ứng da,4,6/25/2020 21:01
1732,1303,xài xong thích lắm. da mịn hơn hẳn.,1,6/4/2021 21:02
1733,417,chất kem mịn,4,9/3/2020 23:22
1734,6566,"chất liệu, sản phẩm như hình. được",4,6/5/2021 12:42
1735,5555,mình dùng bông lau hoặc lấy tay vỗ lên mặt,4,5/11/2020 17:24
1736,3279,cảm giác dưỡng ẩm da tốt,4,10/12/2020 11:44
1738,6399,hạt trung bình chứ ko to,3,1/27/2021 16:55
1739,8432,sản phẩm k có tem hãng dán,4,8/14/2020 19:40
1740,8771,hết sẽ ủng hộ tiki nữa,3,9/12/2021 12:56
1741,7802,xài rất đã mà ko bị kích ứng da,3,10/2/2021 9:30
1742,6174,"giao hàng nhanh, bảo hành chính hãng",3,8/25/2021 12:19
1743,6531,nói chung là ok,4,11/3/2021 6:15
1744,2408,Giao hàng nhanh,2,7/12/2020 11:13
1745,2449,"giao hàng nhanh, bảo hành chính hãng",4,10/4/2020 17:34
1746,1198,mặt đáy và trục bánh,1,11/28/2020 7:15
1747,6544,xài xong thích lắm. da mịn hơn hẳn.,4,5/30/2020 5:04
1748,8732,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,6/22/2021 2:38
1752,8761,cảm giác dưỡng ẩm da tốt,1,2/7/2020 10:21
1753,9848,sau khi sử dụng da có sáng hơn 1 tí,2,5/14/2020 7:08
1754,5627,Hình ảnh là 2 lúc nhận 1 hộp điều à.,1,5/27/2021 4:26
1755,2516,sản phẩm k có tem hãng dán,4,11/8/2020 11:33
1756,6276,Giao hàng nhanh,3,12/19/2021 6:51
1757,3916,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",2,10/9/2021 3:37
1758,7230,cảm giác dưỡng ẩm da tốt,2,1/15/2021 2:58
1761,1514,"ăn không bị mặn, ",2,1/9/2020 9:24
1762,3410,Đắt chứ không giảm,2,5/3/2020 10:33
1764,6555,Thà k gập còn hơn.,3,11/26/2021 12:01
1766,5114,Đắt chứ không giảm,5,1/30/2021 19:05
1769,8858,sử dụng thường xuyên có giảm mụn đầu đen,1,12/7/2021 22:53
1770,8852,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,11/3/2021 11:57
1771,1026,"ăn không bị mặn, ",1,3/12/2021 2:35
1772,6763,Tot và rẻ lam,5,7/12/2020 11:55
1773,4151,Hình ảnh là 2 lúc nhận 1 hộp điều à.,5,7/3/2020 22:33
1774,4205,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,4,9/24/2021 20:44
1775,268,"Đóng gói chắc chắn, date xa",5,8/1/2020 15:33
1776,9680,"Đóng gói chắc chắn, date xa",5,12/13/2020 9:47
1777,961,Hình ảnh là 2 lúc nhận 1 hộp điều à.,4,10/7/2021 12:03
1782,6478,nhìn dễ thương,3,4/22/2020 16:35
1784,2038,sản phẩm tuyệt vời.,4,3/25/2021 7:23
1785,7308,"Dùng ổn, k bị thấm nước",5,1/26/2020 16:31
1786,25,sau khi sử dụng da có sáng hơn 1 tí,5,5/6/2021 23:42
1787,167,xài rất đã mà ko bị kích ứng da,5,7/2/2021 14:00
1788,7613,"ko dùng nhấc bếp dc, trơn, ",3,7/6/2020 11:15
1789,4892,sau khi sử dụng da có sáng hơn 1 tí,1,11/15/2021 11:10
1790,5141,"ko dùng nhấc bếp dc, trơn, ",2,2/7/2020 13:52
1791,27,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",1,9/3/2020 2:48
1792,9591,Tot và rẻ lam,4,9/26/2021 3:44
1793,5318,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,5,7/4/2020 22:04
1794,7203,nhìn dễ thương,1,1/4/2021 22:49
1795,5910,hạt trung bình chứ ko to,4,7/8/2021 15:14
1796,9754,dàn bằng nhôm không rỉ sét,4,1/5/2021 20:28
1797,5961,sản phẩm tuyệt vời.,4,7/3/2021 7:27
1798,9283,"giao hàng nhanh, bảo hành chính hãng",3,12/9/2021 2:28
1799,8145,"ăn không bị mặn, ",4,8/25/2021 18:13
1800,9114,Giao hàng nhanh,3,7/25/2021 11:45
1801,8227,nhìn dễ thương,5,1/4/2020 21:01
1802,3277,sản phẩm k có tem hãng dán,4,4/16/2020 8:31
1803,9317,sản phẩm k có tem hãng dán,4,6/14/2020 15:56
1804,7895,đóng gói kĩ,4,6/19/2020 23:07
1806,486,ko đủ cách nhiệt,2,9/29/2021 15:51
1807,9580,"Đóng gói chắc chắn, date xa",2,2/20/2020 12:31
1808,5453,dàn bằng nhôm không rỉ sét,1,10/5/2020 5:38
1809,5387,đóng gói kĩ,1,12/9/2021 9:47
1810,9626,mua nhiều lần của các thương hiệu khác,1,5/25/2021 9:09
1811,7543,"Đóng gói chắc chắn, date xa",5,8/16/2020 14:02
1812,4948,"chất liệu, sản phẩm như hình. được",1,10/15/2020 19:38
1813,4708,Thà k gập còn hơn.,3,12/6/2021 6:30
1814,4825,đóng gói kĩ,2,7/6/2020 20:25
1815,3695,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",4,5/10/2021 11:45
1816,7189,sử dụng thường xuyên có giảm mụn đầu đen,4,1/16/2020 21:03
1819,2826,Tot và rẻ lam,2,10/19/2021 15:38
1820,6731,Bánh xe nhựa mỏng chứ ko phải cao su,1,4/8/2020 5:21
1821,7212,đóng gói kĩ,3,11/22/2021 6:45
1822,6653,"Đóng gói chắc chắn, date xa",3,3/1/2021 23:50
1824,284,xài xong thích lắm. da mịn hơn hẳn.,5,2/7/2021 3:51
1825,5297,dàn bằng nhôm không rỉ sét,1,11/2/2020 7:03
1826,9676,mình dùng bông lau hoặc lấy tay vỗ lên mặt,3,8/9/2021 16:58
1827,2847,sản phẩm tuyệt vời.,4,10/24/2021 1:44
1828,9029,nhìn dễ thương,5,3/4/2020 7:54
1829,8125,"Ăn khá ngon ,độ mặn vừa phải ",5,8/10/2020 5:29
1830,4267,sản phẩm k có tem hãng dán,1,11/27/2021 11:34
1831,6037,ko đủ cách nhiệt,1,1/1/2021 19:05
1833,6318,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,2/9/2020 15:01
1834,6360,Đắt chứ không giảm,2,9/9/2020 14:42
1835,5249,hạt trung bình chứ ko to,3,2/21/2021 9:52
1836,4628,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,2/3/2021 1:33
1837,4353,sử dụng thường xuyên có giảm mụn đầu đen,1,8/1/2021 9:38
1839,3509,đóng gói kĩ,3,10/13/2021 5:38
1840,6902,"ko dùng nhấc bếp dc, trơn, ",1,3/6/2021 4:04
1841,2870,nhìn dễ thương,3,9/9/2020 21:42
1842,5638,Bánh xe nhựa mỏng chứ ko phải cao su,5,1/22/2020 14:24
1843,9151,nhìn dễ thương,1,12/17/2020 21:08
1844,4510,nhấc nồi nóng ko an toàn,1,3/15/2021 0:40
1845,9242,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,3,11/27/2020 16:09
1846,6199,sau khi sử dụng da có sáng hơn 1 tí,1,9/15/2021 6:58
1848,9152,"Ăn khá ngon ,độ mặn vừa phải ",3,8/31/2021 9:53
1849,6389,nhấc nồi nóng ko an toàn,5,12/7/2021 14:06
1850,3847,nói chung là ok,2,8/19/2020 21:57
1852,1002,nhấc nồi nóng ko an toàn,2,3/25/2021 13:26
1853,2606,"sẽ ủng hộ tiki nữa,san pham tot",2,3/30/2020 4:14
1854,9497,chất kem mịn,2,2/4/2021 1:52
1855,7631,nhấc nồi nóng ko an toàn,2,9/16/2021 22:53
1857,9384,"ko dùng nhấc bếp dc, trơn, ",1,2/9/2021 22:30
1858,5610,nhấc nồi nóng ko an toàn,2,9/19/2021 17:01
1859,3608,chất kem mịn,3,12/13/2021 14:51
1861,8497,"Nhựa quá tệ, bị giòn gãy đứt",1,10/2/2020 19:39
1862,6061,"sẽ ủng hộ tiki nữa,san pham tot",1,8/22/2021 9:11
1863,6810,"Đóng gói chắc chắn, date xa",5,1/13/2021 19:02
1865,4811,"Dùng ổn, k bị thấm nước",2,10/19/2021 3:44
1867,3910,"giao hàng nhanh, bảo hành chính hãng",1,3/28/2020 19:54
1868,8981,"chất liệu, sản phẩm như hình. được",1,5/23/2021 8:53
1869,2599,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,2/2/2021 21:36
1870,5534,sản phẩm tuyệt vời.,4,8/31/2021 9:18
1871,8830,đóng gói kĩ,2,6/9/2020 18:49
1872,2867,hết sẽ ủng hộ tiki nữa,4,7/10/2020 20:43
1873,9700,sử dụng thường xuyên có giảm mụn đầu đen,5,4/7/2021 0:08
1874,2978,khung inox mỏng ko chở được hàng nặng,5,3/18/2021 18:49
1876,1696,sản phẩm tuyệt vời.,5,1/28/2020 4:25
1877,2216,sản phẩm k có tem hãng dán,5,2/14/2021 11:41
1879,9443,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,2/16/2020 1:55
1881,9420,"Dùng ổn, k bị thấm nước",5,4/5/2020 20:29
1882,5995,"Ăn khá ngon ,độ mặn vừa phải ",3,11/27/2020 20:17
1883,4881,sản phẩm k có tem hãng dán,4,4/17/2020 5:53
1886,387,xài xong thích lắm. da mịn hơn hẳn.,2,6/22/2020 18:53
1887,163,nói chung là ok,1,4/10/2021 21:43
1888,155,"sẽ ủng hộ tiki nữa,san pham tot",1,12/18/2021 22:44
1889,3354,rẻ hơn mua ở cửa hàng điện máy,4,9/3/2020 11:50
1891,8652,"ko dùng nhấc bếp dc, trơn, ",3,6/6/2020 19:08
1892,9226,Giao hàng nhanh,3,5/2/2021 22:30
1893,9901,Tot và rẻ lam,5,6/25/2020 20:39
1895,7235,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,6/5/2021 8:03
1896,5269,nói chung là ok,2,6/24/2020 13:47
1898,7515,cảm giác dưỡng ẩm da tốt,4,8/15/2020 9:43
1899,5244,"Đóng gói chắc chắn, date xa",1,2/10/2021 1:57
1900,1511,hạt trung bình chứ ko to,5,11/20/2020 6:16
1901,4493,"ăn không bị mặn, ",2,6/25/2020 1:07
1902,3830,Bánh xe nhựa mỏng chứ ko phải cao su,2,4/14/2021 1:40
1904,4695,Bánh xe nhựa mỏng chứ ko phải cao su,5,6/16/2021 19:20
1905,3189,"Chất vải may xấu, đường may thì cẩu thả.",5,1/14/2020 6:22
1906,8311,nhấc nồi nóng ko an toàn,3,10/6/2020 17:22
1907,9240,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,5/28/2021 15:10
1908,9556,khung inox mỏng ko chở được hàng nặng,4,9/4/2020 15:47
1909,5632,rẻ hơn mua ở cửa hàng điện máy,1,2/6/2020 6:15
1911,2752,hạt trung bình chứ ko to,5,6/27/2020 20:07
1913,8266,"Ăn khá ngon ,độ mặn vừa phải ",1,6/1/2021 23:32
1914,6394,Hình ảnh là 2 lúc nhận 1 hộp điều à.,2,3/22/2020 15:27
1915,9081,nhìn dễ thương,1,10/14/2020 12:14
1917,4019,"sẽ ủng hộ tiki nữa,san pham tot",4,10/21/2021 7:07
1918,1331,mặt đáy và trục bánh,3,12/17/2021 21:18
1919,1155,sau khi sử dụng da có sáng hơn 1 tí,4,1/6/2020 5:10
1921,9011,"ăn không bị mặn, ",2,3/1/2020 23:09
1922,1935,dàn bằng nhôm không rỉ sét,5,7/16/2021 23:45
1923,3989,"Ăn khá ngon ,độ mặn vừa phải ",3,4/9/2021 2:27
1924,546,khung inox mỏng ko chở được hàng nặng,3,2/6/2020 9:27
1925,125,Bánh xe nhựa mỏng chứ ko phải cao su,3,4/30/2020 20:29
1926,719,xe bằng sắt để chịu lực tốt,2,12/20/2020 20:29
1927,2347,hạt trung bình chứ ko to,2,7/18/2020 18:28
1928,7005,"Đóng gói chắc chắn, date xa",1,8/14/2021 3:28
1929,2410,mình dùng bông lau hoặc lấy tay vỗ lên mặt,5,3/16/2021 14:28
1931,2799,Giao hàng nhanh,2,3/27/2021 17:40
1932,6140,nhấc nồi nóng ko an toàn,2,4/2/2021 23:15
1933,791,"Dùng ổn, k bị thấm nước",4,5/5/2021 22:28
1934,8440,"Chất vải may xấu, đường may thì cẩu thả.",2,11/23/2021 20:33
1935,8660,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",3,12/15/2021 18:11
1937,6371,"Nhựa quá tệ, bị giòn gãy đứt",1,5/5/2020 8:47
1938,6779,rẻ hơn mua ở cửa hàng điện máy,5,7/13/2021 18:07
1939,5364,sau khi sử dụng da có sáng hơn 1 tí,1,1/20/2020 11:54
1941,3654,hay bị lẫn và hạt hư.,2,2/6/2020 14:08
1942,5747,Hình ảnh là 2 lúc nhận 1 hộp điều à.,5,5/20/2020 9:31
1943,2203,"ko dùng nhấc bếp dc, trơn, ",2,11/2/2021 15:00
1944,6293,ko đủ cách nhiệt,5,3/5/2020 4:52
1946,7330,khung inox mỏng ko chở được hàng nặng,5,8/21/2021 0:38
1947,3043,"Đóng gói chắc chắn, date xa",1,10/7/2021 1:22
1948,2638,"Đóng gói chắc chắn, date xa",3,2/10/2021 22:08
1949,617,chất kem mịn,5,11/22/2020 1:59
1950,2341,khung inox mỏng ko chở được hàng nặng,3,9/26/2021 7:40
1951,6454,sản phẩm k có tem hãng dán,2,8/27/2020 11:13
1952,6895,chất kem mịn,5,3/5/2021 0:00
1953,3199,"Ăn khá ngon ,độ mặn vừa phải ",4,11/4/2021 4:24
1954,9570,"Nhựa quá tệ, bị giòn gãy đứt",5,2/10/2020 10:29
1955,4990,cảm giác dưỡng ẩm da tốt,5,3/11/2021 16:02
1959,672,đóng gói kĩ,3,3/29/2021 10:15
1960,6465,Hình ảnh là 2 lúc nhận 1 hộp điều à.,4,10/7/2021 8:25
1961,262,Bánh xe nhựa mỏng chứ ko phải cao su,1,11/9/2020 20:25
1962,4532,hết sẽ ủng hộ tiki nữa,3,9/1/2021 12:40
1964,1548,cảm giác dưỡng ẩm da tốt,3,5/19/2021 23:42
1965,952,nhìn dễ thương,5,2/28/2020 16:38
1966,2119,sản phẩm k có tem hãng dán,4,3/30/2020 9:21
1967,9424,dàn bằng nhôm không rỉ sét,3,6/23/2020 5:11
1968,5003,rẻ hơn mua ở cửa hàng điện máy,2,4/17/2021 14:57
1969,217,Giao hàng nhanh,3,1/8/2020 8:46
1970,6926,rẻ hơn mua ở cửa hàng điện máy,1,3/29/2020 20:20
1971,7990,"ko dùng nhấc bếp dc, trơn, ",2,1/24/2020 19:48
1972,9717,xe bằng sắt để chịu lực tốt,5,8/3/2021 12:53
1973,3748,xài rất đã mà ko bị kích ứng da,3,3/17/2020 0:50
1974,3741,đóng gói kĩ,1,4/26/2020 0:39
1975,8071,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,7/28/2021 17:08
1976,923,hay bị lẫn và hạt hư.,5,3/3/2020 9:03
1977,3646,nhấc nồi nóng ko an toàn,3,5/8/2020 19:07
1978,4100,Giao hàng nhanh,4,6/30/2020 7:00
1980,2442,Tot và rẻ lam,1,1/29/2021 8:50
1981,4481,Giao hàng nhanh,1,11/13/2021 3:51
1982,7454,sản phẩm k có tem hãng dán,1,10/5/2021 17:05
1983,2705,sử dụng thường xuyên có giảm mụn đầu đen,1,2/18/2020 13:04
1984,1147,Đắt chứ không giảm,2,5/4/2020 12:53
1986,1589,Tot và rẻ lam,4,8/9/2021 20:26
1987,4703,Giao hàng nhanh,5,6/30/2021 3:36
1988,3131,chất kem mịn,1,1/9/2020 15:49
1989,8362,chất kem mịn,4,7/10/2020 10:37
1992,7271,mình dùng bông lau hoặc lấy tay vỗ lên mặt,2,2/9/2021 8:11
1993,3314,nhấc nồi nóng ko an toàn,1,3/5/2021 6:41
1994,9964,hạt trung bình chứ ko to,4,10/16/2021 12:53
1995,8200,hay bị lẫn và hạt hư.,2,5/22/2020 4:22
1996,2977,ko đủ cách nhiệt,4,6/23/2021 2:11
1997,1939,"Sản phẩm sử dụng tốt, mẫu mã đẹp",4,7/6/2020 18:20
1999,2960,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,3,8/25/2020 16:35
2000,644,sản phẩm k có tem hãng dán,5,8/29/2021 14:48
2001,4747,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",4,6/14/2021 13:06
2002,3880,"Chất vải may xấu, đường may thì cẩu thả.",1,12/6/2020 6:59
2003,9112,rẻ hơn mua ở cửa hàng điện máy,3,7/30/2021 4:44
2004,9940,hạt trung bình chứ ko to,4,11/17/2021 18:02
2006,4021,Thà k gập còn hơn.,3,6/21/2020 0:06
2007,9564,Hình ảnh là 2 lúc nhận 1 hộp điều à.,3,5/3/2021 15:23
2008,9161,sản phẩm tuyệt vời.sản phẩm tuyệt vời.,5,8/29/2020 12:56
2009,8720,Thà k gập còn hơn.,4,4/10/2021 22:43
2010,8551,"Chất vải may xấu, đường may thì cẩu thả.",2,8/7/2021 13:10
2011,4255,dàn bằng nhôm không rỉ sét,5,2/19/2020 7:42
2012,4736,"Chất vải may xấu, đường may thì cẩu thả.",3,12/25/2020 10:39
2013,8040,"sẽ ủng hộ tiki nữa,san pham tot",3,3/17/2021 13:56
2014,8593,"Chất vải may xấu, đường may thì cẩu thả.",2,7/28/2021 14:35
2015,3449,Giao hàng nhanh,1,12/18/2021 9:53
2016,9024,"Mình mua xe bánh màu đỏ xài bền,xe kết cấu hợp lý",5,10/6/2021 22:31
2019,6735,xài xong thích lắm. da mịn hơn hẳn.,2,7/3/2020 16:35
2020,9632,sản phẩm tuyệt vời.,1,3/18/2021 1:45
2021,3185,cảm giác dưỡng ẩm da tốt,1,12/30/2021 8:57
2022,1640,hạt trung bình chứ ko to,2,3/12/2020 16:43
2023,723,nói chung là ok,1,7/11/2021 12:16
2024,3755,sử dụng thường xuyên có giảm mụn đầu đen,1,1/25/2020 19:08
2025,4294,"Sản phẩm sử dụng tốt, mẫu mã đẹp",1,5/12/2020 2:53
2026,8998,nhấc nồi nóng ko an toàn,5,3/5/2020 0:42
2027,9032,mặt đáy và trục bánh,2,6/4/2021 21:44
2028,8746,khung inox mỏng ko chở được hàng nặng,5,10/26/2021 14:44
2029,6848,"sẽ ủng hộ tiki nữa,san pham tot",4,4/26/2020 3:20
2030,9414,"Ăn khá ngon ,độ mặn vừa phải ",1,6/5/2021 5:07
2031,7175,sản phẩm tuyệt vời.,5,1/8/2020 2:35
2032,3678,"chất liệu, sản phẩm như hình. được",2,9/10/2021 20:54
