ID_SP,TEN_SPHAM,MOTACHITIET_SP,KHOILUONG,GIANIEMYET,GIAKHUYENMAI,THOIGIANKM,SOLUONGTONKHO,GHICHUSPHAM,HANSUDUNGSP,NOISX,PHITIKITHU,LOAICAUTRUCSP,ID_TH,ID_DMN
3022,0OWMEM,X2MBLU106QRNSC7U0XFX31ZFAM6H6WPDIC0WN85JFBQREKTPI2KO3HEY9KX,16,29000,27000,2,8928,47CUT6,11/26/2021 15:28,Đức,36000,3,2359,5
3023,6ZBSFGT98YAGUSE0KEHFUJ5PO2UEZSOUXVAG7FGS6K03EG,6V9XP8Z7E5R9WN446ICCN24GTMFWGHLNQ1E7SNRCOYWJD4QVVREQ4GFL22KGKO6B4D7W67K,14,30000,28000,4,1230,1FXSEHL7LL8EE3V9FCCC0G5AKAC6VNVZ85A2ZRH1QKDCZ,9/7/2020 20:44,Trung Quốc,37000,3,4015,121
3024,FWMEZG,CGVACX,4,31000,29000,5,5251,NXZM98,5/22/2020 15:25,Nhật Bản,38000,3,1121,1
3025,77JNQOD0RD77CCVIQ6WHXI,WB6PX3VSQMQ2G9ZZ1BX,8,32000,30000,5,1838,LPWJ67,3/14/2020 6:39,Trung Quốc,39000,3,1243,80
3026,R9GIKDETC81ESK9CN1VB94ZA2R047E6PF8B,550JCWDHWG2UATN,19,33000,31000,2,7310,EM28L0V27QKVUU7IYQ2X50PW,4/16/2021 1:51,Trung Quốc,40000,3,1440,77
3027,D3A4WJ2XN6G38GZ11HQVLGN7TZH22FQLW6LLZSQI4TUDD7DHD,SEFNOC,12,34000,32000,7,1037,IJ7RPS,9/26/2020 0:09,Trung Quốc,41000,3,2994,123
3028,RQMZE1,SUXOA6DUQQE8PLGELDSIXD4XHI5C64GK5CILA3SLBZ59X24QW2TKKZXBG8R3RPUW0BAUCDGFYCIVOK58LW100GVF6VR9B55YG,1,35000,33000,6,1409,1Y3A72,5/27/2021 5:26,Trung Quốc,42000,3,3974,127
3029,YQ9E85,Z6V3LE,18,36000,34000,2,2120,JDRVMO,10/10/2021 1:11,Trung Quốc,43000,3,590,77
3030,AQPZ95,521XQKET7087ZA9FKTWVZZ4Q9DSJUS2AIXU59R17MOMQGJVRSXMU7LLZ7APSR1ITRRKR4KMM,15,37000,35000,5,6448,0JNKC,3/25/2021 8:03,Việt Nam,44000,3,3412,18
3031,2NPWREIRVVL7NQ9YOJUZJDAAW5Y0K3HWJ80HTA,2MHAQR,8,38000,36000,5,7208,59XN1MQJANL32VLXIDILIK,10/17/2021 15:39,Trung Quốc,45000,3,4026,76
3032,PKL499,OBQ2FR,20,39000,37000,4,420,2X1OOBWRM81EKZ7GJQQTEQPQO7FSC37DLQAFRL9ROC19OWZ1Q,2/25/2020 21:00,Việt Nam,46000,3,29,4
3033,1UZYOWTNB5MQYLKZMX8TE9ABW7QDNJGHOI4FH8YUXZSM42,Q5T7KQ,10,40000,38000,7,914,5VP7KE,10/17/2020 0:07,Trung Quốc,47000,3,3943,74
3034,LPXQBOV5PKPPLP6FES8NN2O63WRG599TCJ6TUER5QAAU0XK9,S7AFI4UR4PEB9INPKP,6,41000,39000,0,3479,UH1XLVHRGBJWUTK7AF,10/8/2021 14:06,Thái Lan,48000,3,2705,38
3035,XYTGX3,3X5NMW,7,42000,40000,2,3759,6RP848DU9C21ONUUBFLJUSEX0ERCTALLLX4CE8A80P7DSX,10/27/2020 2:38,Hà Lan,49000,3,3863,40
3036,NSPTGD32HQ7GTUPTZ8XX73PQZ1Y9XKVXGTRENWMY,5SKE31YZOSZVHBTUOMSH,1,43000,41000,0,517,MHRICXK416033RC,2/18/2020 20:03,Trung Quốc,50000,3,2885,73
3037,IQSAKAKLY2YX4X0ABLF5FU583DUBHEHY4KBJ2WD,ZL9KFN,18,44000,42000,4,1978,EW76MCR9NTGO4N21YR9CJZ8Z,9/14/2020 22:46,Trung Quốc,51000,3,1444,21
3038,NJY112Z,5LWUW5X98VRBEMKYWE822JB5NKBRAHCR4E,9,45000,43000,3,4771,BQ051L,1/6/2021 20:03,Trung Quốc,52000,3,3168,108
3039,70X2ZCZOQLV0FF6AGTPX3J5F5LI6Z64KW1FX6T85XHXA12U5R,0H5396,6,46000,44000,7,5084,F5GCACYR,4/7/2021 4:25,Thái Lan,53000,3,3656,26
3040,NEOYA9,7791N,5,47000,45000,5,2213,BU8HBTT88IZB1LZUT15WCVD434V1TW6B25JOQVOH7PEV5,5/31/2020 5:57,Hàn Quốc,54000,3,771,101
3041,FGA1HX2VVHRF3EWU943RYH7WBJQW7,YJ6SQDYPA29PUGJSI,4,48000,46000,6,939,NCID84,2/9/2021 4:20,Trung Quốc,55000,3,2827,51
3042,YWU4CO,WYG2S7,9,49000,47000,1,315,CZDMAXTZUCB17FUGVOHHJ9R83C6,8/26/2021 5:02,Trung Quốc,56000,3,1729,64
3043,QT6ZGPV1OLK12ZU,D8EPOT48YSHU2ZAXYCJS0HH0SP9L0OX0WTYSMIG,7,50000,48000,1,1290,BSRFIU,1/22/2020 19:22,Trung Quốc,57000,3,1496,86
3044,47ZLLIIBNMJ7U4KT9I07P8W7AO7TZAZ5XOYLCPOBIAG1H7M,CRATJQ,1,51000,49000,0,7075,2OESD9,2/6/2020 15:47,Trung Quốc,58000,3,3764,117
3045,795XLJ8301JDDNZT40E,6SS6W375W6ZI319NOJCGMH8K2KO0M9I1WJRSGV8QHHT57IA6M489LFBXL924UONPB71E7VRWSXWYFTT5OJO9YT8XZEOK1I6,14,52000,50000,3,4378,D19KAUEI1SGMYM84P43PVLZ7U4M3I8Q3DNP1PZE1Z2,8/23/2020 15:49,Singapore,59000,3,3701,124
3046,JELHOD,2293OV4S1XBQXCCX8QUVIM2W79YT4DWO05JCVKPMV0RSDH47YGD3HQBEHZEAP8,20,53000,51000,3,9402,VQELC4,11/6/2021 2:34,Hà Lan,60000,3,3195,97
3047,41KB2YCP4L,WIGXKX,16,54000,52000,4,5690,3M1FET,12/12/2020 13:28,Hà Lan,61000,3,2875,72
3048,HRNGF7,DXQYZV,2,55000,53000,2,7897,VD7Z0R,4/16/2021 4:13,Trung Quốc,62000,3,3712,121
3049,HZEGWVS0LLU31CRQAE7G7Q0O1Y,SNWO4V,20,56000,54000,2,4190,47RY740C4KA9BMPIF4W0GO9I,4/22/2021 4:21,Trung Quốc,63000,3,3613,120
3050,HAPSZW,CJUYIV,4,57000,55000,4,6325,77479V,9/25/2021 2:06,Trung Quốc,64000,3,2949,3
3051,8O48W1JJ2KF3K01DA7NCBA7MXA6CKXJF9LIGRJY71,7H0TPWZ8SVBRYSN4EXUEEU4SO6EMI113A84Y6Q1Q4O7RKXOXC4GOYUOCG7KQN4WZMWOMQZ8VMS927L08X1QE0O0YVVFX6CQIS,7,58000,56000,2,2501,CO9RVQ,6/3/2020 11:52,Thái Lan,65000,3,3371,52
3052,1UVZ6XFXE4EV9NDI8FAR2LS7SM4EOM4FI,F2CJUE46PJ4MFUHL22DF2ORT7HSMBASDJ3KXL1EYVV207TYM2DDQH5J6G,5,59000,57000,2,2973,SQZ9BHSEAZQ1INI0TA0Q3CKO0,8/26/2020 12:19,Đài Loan,66000,3,329,43
3053,SS3KQI,XT0MMS,8,60000,58000,0,8801,WIWYEG,4/11/2021 22:24,Trung Quốc,67000,3,3789,40
3054,WTXLBL,J62VK2,2,61000,59000,6,3101,MWAION,11/1/2020 19:39,Trung Quốc,68000,3,3799,51
3055,JDGNRX,Q5YMRX,3,62000,60000,5,2110,96540R,7/9/2020 0:29,Trung Quốc,69000,3,4052,43
3056,NX18EW,85OZJLP05DS1NPM,18,63000,61000,4,5060,DW1K7H6LPUYDR8QU4DY0O1H4PNSE0XHCO5NZ9GM5323FIA,8/24/2020 4:38,Singapore,70000,3,2928,122
3057,E9IF60,NE32AGCQ9V,2,64000,62000,6,31,TH9J1NG5J,11/28/2020 11:46,Hàn Quốc,71000,3,3366,109
3058,JUGB6CDUJA692RGNBB4GB6G5F8SJPD1CIEHOY3I3D0S7,VY4H0U,20,65000,63000,0,6809,7XPI7CZQQ3NY1ZQQLYI4SRD13GHTKIO7LNAZBBYAW5N9OB9PYB,1/24/2020 21:49,Hàn Quốc,72000,3,3479,90
3059,HU6NTX,4T99COI9KHASGKOQZYCQ0HN056ODMXENLPY4NERWJATGM6PG0ODVD4Q,3,66000,64000,0,7537,6234ICI12RXZR8VKQSV4LKUPZFERBFS,2/19/2020 22:52,Trung Quốc,73000,3,3238,90
3060,EIT5A,NB3RL8,9,67000,65000,3,994,L7VV9W,11/17/2020 1:09,Trung Quốc,74000,3,2889,94
3061,CTUHW7MGECJHWYG4N9B87R3LT9DK5BCXPPXJD47KL3Y63,D30CP1KD2UK25,2,68000,66000,7,9177,JA4CNK6M8JX4I,9/6/2021 8:13,Trung QUốc,75000,3,3117,92
3062,VKBJ6L,CJONTH,5,69000,67000,5,8547,H104GI,5/1/2020 0:41,Đài Loan,76000,3,2804,56
3063,R6YGMN9LAJOVVWHHT8ZZD72XMW7Q64MIWHT2UQZ1G665585F,UFBGNXQDLZKQK2YNOHYW2ADQTAOGBCO1ZO1DLD2ZJ1CGGV67SFL1UBOWTXTPX9FYF0MRAR29J76XNE4M,2,70000,68000,5,5698,HHQNJ4VTBDE79KGPKGP8U54NMZ3BMY4LCKXL6BTFIN2VZ2XW,8/28/2020 21:13,Thái Lan,77000,3,3447,122
3064,YLALG8Y,2CNTDB0EW1I3V06C29EXZNCQ5G3BNTP3GDE5SOFTA5VZ4BTGM6SBBIYHIGIS5BKR0NFPGSJVKPFX4V6N98N7LQQV2VYCKIS6Z1UY,10,71000,69000,4,5783,2XDAUH,4/1/2021 8:33,Hàn Quốc,78000,3,3825,114
3065,WT80YN,2DMZTY5NBN09HPNXMVKTUXUA6H3H0WM,11,72000,70000,3,7266,JCSCOWFK6MU5VH8O7ICUV2ZJIQO8MIXU72XD03DKRKTZ9,8/25/2020 7:16,Việt Nam,79000,3,3266,79
3066,Y8MA25CVYFK,SSLJET1JGCJ4XFJ6,4,73000,71000,1,1749,X8QFZ71G0QQSN77ABKMTVB0TP,5/8/2020 7:47,Thái Lan,80000,3,3866,18
3067,WF6ITS2HCQAW4IJ6B2F0HMWIKGKL,XEN9WB,9,74000,72000,0,6417,14UIBZ,7/5/2021 19:05,Đài Loan,81000,3,2855,63
3068,QZWNWL,AVMXVLI5ZCHKHPWERVW4SX6NU6VHF7X8L0M1EYKXYOPQW89X9UHS7K2WW0VFJGUP3DSRM588O4PVU3OQLEYA0TWY8SF,12,75000,73000,5,4006,AV1ILT,8/20/2021 15:55,Trung Quốc,82000,3,746,97
3069,IQBBCJBHJXGKGQQSB2G35S,GMMPKLKM4LJUJM5PYA6FQ77WMG9S63CLTVAWNT6Z8UX6696BK0UF3J2RJAJRKSG1RQ3QXP1PZOBC,1,76000,74000,7,6488,1PQ2W1GNEEYCD955X9AV2XWVF2WO1KLZK9N5RB5,12/9/2021 23:47,Việt Nam,83000,3,3089,122
3070,CSP4H,H78KNP5C7QWH,6,77000,75000,2,4060,OAYOX6YTQJDQ03ASYMZL4ONX42OURZWI,12/16/2020 12:11,Trung Quốc,84000,3,3585,48
3071,OW8N6R,RM6WKK,4,78000,76000,2,113,4554SA2OE0WK9A9S0I5STZD0LO72XD3YQWJ44LR05SYD3W,11/3/2020 19:21,Trung Quốc,85000,3,2529,27
3072,PPSZY536N8YVA897V92,7OI9NW0V8TYQ0ULMTUR0WULMIWI4DJPHYFQDXWMD4MUL2XC3P813OPMY2F6995I3F1ODXBUVXFPJTN1O5S9NTV2QJ0,15,79000,77000,4,960,PROWV5,7/24/2020 2:03,Việt Nam,86000,3,3910,43
3073,DQK2TS,3823BW8WODSBLHMVV8GS8XANCI69H5PQHDJB65M6QK31B8EJ1AVDOKMMJ98X2ZGSF4K00N6L0CD9WN,7,80000,78000,2,330,L5F94G,10/2/2020 3:28,Nhật Bản,87000,3,3965,42
3074,GWAFRI,XI7PWC,9,81000,79000,6,6075,IWYOFF,5/17/2020 2:31,Trung Quốc,88000,3,2662,20
3075,Y4FR5892MJZ7CEGSTJRWFEZS04SGUITT4M4UICRR08VS4LQXQ,4O3BGMHJTLOLL10W6KED8VZ6Y9BOCNE4P7NM0IJ5NZP0CLT4WQLMFINN,17,82000,80000,7,187,YVJQYQ,3/26/2020 7:31,Thái Lan,89000,3,3358,19
3076,PLWGFE,IM2LU6M77P37ANN0EER0ECFXP5JZPT7XYFAKR4UG6HTFRMDFX0LFYFRT7UPPMSP14UTO3K0ZTQG55MRF637C3TF,18,83000,81000,7,5926,AVC3PXBD6OPYNCRMI35KX3Z3OKO0L9BX8A4RLP3TRQY05TGQ,12/2/2021 3:23,Việt Nam,90000,3,3757,107
3077,KF69TN,DCYBL1,9,84000,82000,1,7638,1UA2KT,11/4/2021 20:06,Trung Quốc,91000,3,1471,50
3078,5Z06W,OGWHXWSKWD96GCVKU0XVII20V1TFJ5RZDXEQYCDREH8,14,85000,83000,3,4156,DZKQUCVF459T6PFUC2M0OZZH3FOIGB3HN8ACVD64,8/2/2020 4:57,Singapore,92000,3,3834,4
3079,ERX5JK,Q0H2HC,11,86000,84000,1,874,26ZZCN,9/29/2021 23:36,Trung Quốc,93000,3,3663,8
3080,PDTPAG,QN51I7,8,87000,85000,2,2436,ULZCRV4UXH58M79RG4I,5/9/2020 4:05,Thái Lan,94000,3,3525,114
3081,I80FZ8,YX1C8S,3,88000,86000,5,1621,0A9MWF,5/4/2020 12:23,Hàn Quốc,95000,3,39,5
3082,ALALLP5FBELS8G7NYQPWVDKW,X7HKU1,10,89000,87000,4,3140,US9KCMXDN,6/12/2021 19:56,Hà Lan,96000,3,1941,2
3083,D86Y56I,GMRLF70P53T1I3GHW67BFP,2,90000,88000,4,7219,CXMAMZ,2/5/2020 1:04,Thái Lan,97000,3,2414,7
3084,SC8PR5,9OGC7GLEVZNBCVLTSK4Z0WA1209P8Z4JMPO0C9P60DTDKR61OE9BIPTYOTW1I5CHG,14,91000,89000,6,5795,NU3X6S,1/15/2020 23:05,Trung Quốc,98000,3,3919,74
3085,3ZHQ7Q15AI5MYSUTAV07DQKEFBK7I,G4SKU4,8,92000,90000,3,3947,WZ8ZEE5QTMQNPAWDX3ZSVS84S,10/21/2020 20:11,Hà Lan,99000,3,2820,96
3086,MIPZ00UXCAACO54UXY8UI7MOZIT0,1PS2AVSOY9166OYNE1436RLYC1QKUQX0UDZAU5W1SBXRNZ,3,93000,91000,2,4235,KWDIAS,2/21/2021 3:20,Hàn Quốc,100000,3,2436,34
3087,42PV28XJEEAO8DRS6U9SQTVAYSIZXSFSZTLS1DY,NDX3K8,13,94000,92000,4,1619,17BKAMUDVJM8I4W8I75D966,11/15/2020 22:36,Trung Quốc,101000,3,728,95
3088,6KAI1R,YBH0CP,8,95000,93000,1,7814,OZOFDY,12/16/2021 4:29,Việt Nam,102000,3,3740,23
3089,IYEA02EPKGE6EZH0QXKDUTB9G9IKKBI37DKXKE6X,M76TXXH5FQN9AW6APN8PCCH5JG,4,96000,94000,3,1370,IQC9XM,4/1/2021 13:37,Hà Lan,103000,3,1188,126
3090,Z12HP19E4A8ZB4Y8QR563BRWFRC5RRDOF2UE32P,9P8WBT,9,97000,95000,6,8699,94LTE4,3/4/2020 21:59,Thái Lan,104000,3,3382,48
3091,6Y3HSNUMKWQ0B56WVK8DE9Q3NI11EB4,HRW01P,19,98000,96000,2,487,K3R9BQMV77A7PPXEUCKUBAGQM3RMSVO5W2YDDT5QJSCE,3/23/2021 8:17,Hà Lan,105000,3,3409,94
3092,6EMFND,VJK68G,19,99000,97000,4,5169,7VMK1V,8/22/2020 0:57,Singapore,106000,3,474,62
3093,WQRNR9R,BE8W2F,6,100000,98000,2,7234,4VHLDJ6KCLKULUJBW9MOERK0RLUPYEP1EH7BO8DE0ZX85J,11/17/2020 21:10,Trung QUốc,107000,3,4066,18
3094,4GNFOQTM023D863GCWJIKOTI9H7AP5,VTTDEW,17,101000,99000,4,4090,ZJ9SCD,5/21/2020 3:15,Trung Quốc,108000,3,471,62
3095,LQDZC4U7S4UBOJNK499M7LASHFUBFMQZGOK0EVCIGL1JCM,CNF5GC,4,102000,100000,6,3036,25VHV67HL7SM9BCR5E6G,9/24/2020 21:45,Việt Nam,109000,3,3019,9
3096,CKTHRDTKLMIA8F50QHUMPJ1JLXBBZRC5D25I7Q87,N3ALJPLWAXXRGZTW88PE03JZA7RTWUHQXTC7DMZQHHBT4G0Y5KM0JA,19,103000,101000,1,2393,91730L,10/11/2020 3:38,Đức,110000,3,2643,126
3097,R410NB,ZQ8Q37,8,104000,102000,3,4617,F6Q7AP,12/28/2020 7:48,Trung Quốc,111000,3,1337,72
3098,0HYLLZ,AGL6M6YBLZ2A2RJKR2LQ3JLR6X1O2HFOO7II1V6SFL1HNQ9NP0QKRMVSZN1TYEWNGP1BF9KHNCDYCLE8Q02Y4WEPISGV0P63,17,105000,103000,4,5508,LN3RFWS88KZBM460DU5,10/23/2020 10:49,Đài Loan,112000,3,2010,103
3099,C6JT5PW1K20ZANF0S2AR,V4LABHHFPA6XU92Q16TORFHTLOLNI04TOJ5Y5LJO2DEAR0FPEPDC,10,106000,104000,4,9810,P3D9VP,6/14/2021 8:31,Trung Quốc,113000,3,2950,39
3100,Q3STP0,B4PO866GKSEFFLOAIO0D4WNO9F,10,107000,105000,2,2629,BQYCH7,4/17/2020 8:01,Trung Quốc,114000,3,3973,107
3101,F5ORXN,URL4GDCRL2B8Q2SZWSCX5FTJGFABIPBLL904TIEPEUZQ1SD,12,108000,106000,2,2986,TUZOG0ZGSNUC0QXUBCGN5IXXVPBZ886QDBO8HHOG,5/3/2020 7:29,Trung Quốc,115000,3,3836,34
3102,ZO35Q3,UV09PF,4,109000,107000,7,1684,WR01ND,4/24/2021 21:33,Việt Nam,116000,3,1293,105
3103,YL5BD0,ANHSHK4949VOB1T,2,110000,108000,2,1410,IAJHZ3RTBWF,5/8/2021 4:27,Đức,117000,3,3800,130
3104,JOPEY3YWJ8YQL1E,TACBP9,14,111000,109000,7,130,K3ZJTEG8JLHL7CIA7TFKAPKOV2P9U8VBE2BW,5/6/2020 16:10,Singapore,118000,3,1688,73
3105,GGVLDVC1UNX8669RSIE5K497RNJ73,C8WDEV,20,112000,110000,1,6213,AGSIZJ,11/21/2020 6:45,Trung QUốc,119000,3,3240,107
3106,3AR5WT,ETKZ7N0CQ3LVVEMV3S5VVRXVJU,13,113000,111000,6,1541,YZ8MJ4,11/11/2021 9:49,Đài Loan,120000,3,4095,9
3107,LHQRIJU3W9NSDLJWCS8,K1QF3K,18,114000,112000,7,2643,9ZZCFIP7LYY2OPBPOETHQSCOTT02XD4FHXVP,11/25/2021 8:51,Đài Loan,121000,3,3968,1
3108,XJNV72,NV71AOXIS9KTK9KMCL7GFIQ5DV3535ER,19,115000,113000,1,2727,HBKXX,11/25/2020 19:53,Trung Quốc,122000,3,3718,20
3109,KWVN4,OLLJVG,6,116000,114000,6,2915,QOORZL68JMTBFX2803H3P7ARS,8/8/2020 12:08,Trung QUốc,123000,3,3828,33
3110,P526JI,8BO9TWSY9HWNVIOZKBP4ML,6,117000,115000,6,6185,OHPZ54,8/7/2020 21:07,Trung Quốc,124000,3,1041,66
3111,A6E4G9,4DOFGL1YQXQ1Z17EK1EF2SHCDZO2PLIDZSVM3OGXSN33HRPB,9,118000,116000,3,7423,RQY9BWBKYHF6YY6UVK9KJ6JYJPM,10/20/2020 8:33,Trung Quốc,125000,3,4104,73
3112,6P5C9F,CBHKRCQT,9,119000,117000,2,5875,X73KYT,4/28/2020 6:48,Đức,126000,3,809,106
3113,JD4WRFKGEB0BHPA087MDQ51ZX21Z77GQVOICRNU5WIQ0ZE,IDK8YBVISHZ,10,120000,118000,6,5936,NP1I8U,4/26/2020 22:13,Trung Quốc,127000,3,3694,83
3114,V6XNXH,KDCZ7C,15,121000,119000,6,5102,T3XGD4,10/13/2021 18:48,Việt Nam,128000,3,3928,107
3115,DMPFHK1REH1NX8QSRHP5J6MU,HYOCYG,6,122000,120000,6,9373,09V81N7CE25QT,7/15/2020 12:46,Đức,129000,3,3782,89
3116,7YDXCO,11J7B6,12,123000,121000,2,6037,DWFA3I,3/26/2020 12:16,Hà Lan,130000,3,3379,90
3117,L6QJYK,QZ0OQ5UK2EMEHYE7ZVSZQOBBW18BWJURN64C260TC3SCU2CKVRJ5X5VK,4,124000,122000,1,1328,899ZJR,3/26/2020 23:36,Trung Quốc,131000,3,2638,49
3118,AUA5BT,I65P276UEESQUYRTN584ET0FEEE,8,125000,123000,6,9903,JIA7K8VKJL4NMUF3O9JK5G7HRTD35H501,8/13/2020 22:08,Đức,132000,3,2865,48
3119,QNC0SS,H04LJL,3,126000,124000,1,1836,07NU9JKMB,6/10/2020 12:22,Singapore,133000,3,3811,18
3120,UI06Q3MPN4W70CUF,Q6DKUUK36DGL1J,9,127000,125000,0,3031,99XCA5,7/5/2021 3:56,Trung Quốc,134000,3,3674,45
3121,FR25TUWH5OBR49FHJUE6YUFQ9,RRK2J7,12,128000,126000,5,130,A4VAEA,6/23/2021 9:12,Trung Quốc,135000,3,3859,53
3122,YCGFUO,W7LJ7V,1,129000,127000,7,8604,8IPO1L,7/21/2021 14:37,Trung Quốc,136000,3,4021,41
3123,VJ73X80FC4U4BDKX40795,U8KMO8F56RUTUBO7YMQG3WUBL3SN2NJXXKOGJ2ASFFO9FW,9,130000,128000,2,2637,MIHKVA,5/21/2020 2:17,Thái Lan,137000,3,3991,102
3124,42YUX5,OTYS6R4OO1V4NP3HXC703FVDO3NU2VBMX5FFJDWL6J8HRT06778OQZP38H53CA7XIMXNWBO60XZJ7JHNQ5,12,131000,129000,1,7789,WOD052,10/7/2021 1:47,Đức,138000,3,2963,75
3125,IS7GDM,K8TQJ7HDPTHTE1CHDBQJ6BVB10,7,132000,130000,0,3573,EDMV3MD8OS02,9/26/2021 3:55,Trung Quốc,139000,3,3914,84
3126,RV5QTT,6DZO0G4USUOTQYS6NC9MJXSUDY8NMDGQ5C6O2UXBKB27MBA9UBJ17PD98MA66,6,133000,131000,5,4945,33RTOE,3/14/2020 18:24,Việt Nam,140000,3,1509,95
3127,J6GFCP,NWNBVL,9,134000,132000,1,3727,90K23Q,9/6/2021 4:54,Trung Quốc,141000,3,1967,26
3128,5OJAUR,5NZ6AR,11,135000,133000,6,6241,4323Z2OOZTYE6Q6FC701VULF365GVY7B1AXPZ5U,5/14/2020 0:12,Trung Quốc,142000,3,3516,111
3129,SV2548,BX7YZH,6,136000,134000,0,3039,R518YET0OSQHNA50,8/23/2021 4:46,Trung Quốc,143000,3,3989,11
3130,CKE82A6C7WCXKV24PYFCRHCS0TLEAJ8383QU94JD3XB,XVISA7,18,137000,135000,6,7795,4D4AAP,6/16/2021 3:53,Hàn Quốc,144000,3,3563,23
3131,EPUP7QWAIAR8JKSMCGGIW3Z4IA2,J7ID6MBM9NJD2UGPQ6XPP0EVAIHRNFTSNGWUVCGJKO2PBLS47OXBWQ6G1DQ5KE5GZ7,10,138000,136000,3,1309,O7X5W7,12/4/2020 19:34,Trung Quốc,145000,3,3829,36
3132,8RHK6P,B2S0DCA33XY03J5OS16TC7BZL42W9D8,13,139000,137000,4,2130,9Z0FUA5IGA3U8NM9XMUKLPELYF8,1/12/2021 9:16,Thái Lan,146000,3,3697,78
3133,OKX3YW,KB1ONWGEN93HQA17KAXO2YCKZDNSHM9QRSSMT,4,140000,138000,6,4347,PW4CRN820AKYWBPQHNPDG3M87XTS,2/18/2021 20:26,Trung Quốc,147000,3,3592,95
3134,YAJIHC,UHWFF2,1,141000,139000,6,8246,J33FTW0V597Q4OH3PULHZ,6/14/2021 15:35,Hàn Quốc,148000,3,3251,31
3135,NFRSNO,5SV6Y4TNH6AWM6LMP8K9TTY46QG5SRNQIB0NB98MZFPE7KB,17,142000,140000,7,9450,40O6CC0IF,1/6/2020 20:36,Nhật Bản,149000,3,3385,80
3136,L5GYK0IJNWGANAXJ9WYBZG42I7IN,5IWJXO7QP6H2IT2DFUYDO3GPPF3DXTU,20,143000,141000,5,9938,8QJG6ZBPGDD24D08GCCKQ8BOP3JPNP,1/10/2021 14:50,Trung Quốc,150000,3,4134,31
3137,8LJBLC,SF29VQ,9,144000,142000,1,1731,GBYZQE,2/5/2020 15:28,Trung Quốc,151000,3,4050,3
3138,T0Y84H,IHBP00G04H,8,145000,143000,5,7090,YC1MUT9BRBEJUM2AK3J31O5N17AWG2B7JHNHUNS31T8UNNEQUL,10/1/2021 8:55,Trung Quốc,152000,3,3387,65
3139,6GWCO3,COG15E,15,146000,144000,5,9583,ZI4ZL2Y6HPA1LB9PSE3D3P,2/24/2021 16:20,Việt Nam,153000,3,2684,98
3140,GMCZPN,4NO0SV,16,147000,145000,4,2407,SKG733LM,12/11/2020 10:22,Trung Quốc,154000,3,2200,87
3141,47KQLWR1HOD48IV1XPW7YQ9G3PGLOVZ1C1YFX5BMAD,JJP9N0,5,148000,146000,3,1593,6UEYUQB0YVN7B7NJ4AHUBMNYQ,3/29/2021 18:29,Đài Loan,155000,3,3637,33
3142,F0G838,I9HZ26,14,149000,147000,2,8893,3V4CGAVKDOMMZ5EO,12/22/2021 2:44,Trung Quốc,156000,3,3667,76
3143,GLO967,A22UV1,3,150000,148000,3,4899,1H59BZ,5/9/2021 16:20,Trung Quốc,157000,3,3438,120
3144,NJ0COV,46GC2UBE7PNIMDU40LFTXCCIYPHOFB81E4R7GNEX59YMIQTF1A5W77VWDX0HSHO5C58FSVF5IN08W111TF,19,151000,149000,4,5185,PGWEHRAD74F2JOPVTI71CE3MTJ,8/24/2020 16:30,Singapore,158000,3,3616,60
3145,ANO85MW7ETZO62W6RKD24S8YOMRKYL9V9O1HT6YL8XOHFOZ2A,ELNXC9WTPYXP1PMOVCKF0Y1DQZNGFQPE0H4NOIYSNL02,1,152000,150000,2,1277,LUCQBX,5/16/2021 13:27,Đức,159000,3,3948,106
3146,70UQZ7,80KCTPQDS22R24LA,10,153000,151000,7,4613,OSMXPZHP2XD0ITOH80QMC90VLNSPFJPNUPR9KC8UZNY,11/25/2020 1:28,Trung Quốc,160000,3,3272,119
3147,KNUR489N5DT667JX9RB2YG22MHYRPU606QTKGIL8S,OZAWNFFDCNQHC5MMJZU9NBSN5GQQTQJAQV1MJHD9IH0JU3FEUNUR852QTD2G3J6,9,154000,152000,6,9234,3G5MHX,4/27/2020 2:43,Singapore,161000,3,3196,110
3148,KC18S4JOYQLF86OFJMPPO6HK5EL,5K7C81,11,155000,153000,4,2133,71T1MVUC7QM4LPKIAL0AOT3V04IIDBW0GJ2BHT27PZ1Q4,2/5/2021 2:23,Singapore,162000,3,2487,41
3149,LWTXD9DHLX865BVKNXUVQHW4Y6UT9A2E36X39AI,38DWRPOPU1W8NSM3D9X25AHOBKHQUSH,12,156000,154000,5,4717,V33HN1,11/6/2021 14:30,Hàn Quốc,163000,3,2543,103
3150,W1QDGF,ZOYZSC4U074IHSCOP1AS,13,157000,155000,3,6999,FAQZY3HFQETLRAC7H,7/1/2020 9:28,Trung Quốc,164000,3,2621,50
3151,59LOWI9R7,C9CVK7,16,158000,156000,0,1065,P429NUJ1L4ALVJZ60SUS2P,7/17/2020 4:02,Đài Loan,165000,3,3436,77
3152,Z5NHBVFXNKACJMVK5H30FG9CZ5FXL2EOOIT6H5589,W6YXGXTWA4G3KWOSZQMEVHIUAVG1Z990K72YQRQ9Q4LPGXXAPJPLUE,1,159000,157000,4,4715,0L90HSH8WXL6PYHKGZQZ9SVYFG0OA3A127FI5C9NIH7D943,5/16/2020 9:40,Nhật Bản,166000,3,3689,24
3153,HE0ORRHB,GC6HF726OSWHALNHO87XTVB,15,160000,158000,3,3673,35EWH1,5/14/2020 22:26,Trung Quốc,167000,3,1726,85
